1,vaKpwybBhArfuRcRuOHeL,0.19047619047619047
2,!apREvFSrqgjXbFPHiPBY,0.19047619047619047
3,!apRE OSrqgjXbE,oSmX!,0.23809523809523808
4,!apRE OSrqgjXbE,oSmX!,0.23809523809523808
5,!apRE OSrqgjXbE,oSmX!,0.23809523809523808
6,vTKpuybQEFhaWugIfUHeL,0.23809523809523808
7,vTKpuybQetVebowefiMeL,0.2857142857142857
8,A!LskybiKkhdCHRLfUJO!,0.2857142857142857
9,vTKpuybQetVebowefiMeL,0.2857142857142857
10,U!LswybiKkhdCHRnfUJL!,0.2857142857142857
11,IGKpyxLOjqgPkHH f,leJ,0.2857142857142857
12,IaEKFVbvrIgjDS,Hf,leJ,0.3333333333333333
13,vTKpkobiKkhdCHRefiMeL,0.38095238095238093
14,vTKpkobiKkhdCHRefiMeL,0.38095238095238093
15,IapREvbvrIgjDS,Hf,leJ,0.38095238095238093
16,IapREvbvrIgjDS,Hf,leJ,0.38095238095238093
17,IapREvbvrIgjDS,Hf,leJ,0.38095238095238093
18,vapskeViKkhdDS,Hf,leJ,0.42857142857142855
19,vapskeViKkhdDS,Hf,leJ,0.42857142857142855
20,vapskeViKkhdDS,Hf,leJ,0.42857142857142855
21,IaKpRsbiKjhdDS,Hf,leJ,0.47619047619047616
22,vapskeViKkhdDS,Hf,leJ,0.42857142857142855
23,vaKpuybQethdbowef,leJ,0.42857142857142855
24,vappkeViKkhdDS,Hf,leJ,0.47619047619047616
25,vappkeViKkhdDS,Hf,leJ,0.47619047619047616
26,vappkeViKkhdDS,Hf,leJ,0.47619047619047616
27,!appyxbm!khdCHcRfimX!,0.47619047619047616
28,qappEhbirredDA,efiMeL,0.5238095238095238
29,qappEhbirredDA,efiMeL,0.5238095238095238
30,qappEhbirredDA,efiMeL,0.5238095238095238
31,vappkhbirrXdDS,Hf,leJ,0.5238095238095238
32,uaEpypbQethdCA,yfDlO!,0.5238095238095238
33,!apRE OirthdDS,Hf,leJ,0.5714285714285714
34,vappuybirthdDS,efiMeL,0.6190476190476191
35,!apRE OirthdDS,Hf,leJ,0.5714285714285714
36,HaEpypbQrkhdDS,HO,lew,0.5238095238095238
37,IaEpu bFkthdDS,HfileJ,0.5714285714285714
38,Iappyxbm!khdCz,HfileJ,0.5714285714285714
39,vappkhbirrXdDS,Hf,leJ,0.5238095238095238
40,Hacppybi!khdIq,HfileL,0.5714285714285714
41,Hacppybi!khdIq,HfileL,0.5714285714285714
42,IappyxbS!thdCz,HfpleJ,0.5714285714285714
43,IaKpyybi!khdIz,HfileJ,0.5714285714285714
44,HaApysairkhdDz,Hfilew,0.6190476190476191
45,vappypbiKthdDS,Hf,leJ,0.6190476190476191
46,HaApEhbirkhdDz,Hfilew,0.6190476190476191
47,HaEpy VirkhdDS,Hf,lew,0.6190476190476191
48,vappypbiKthdDS,Hf,leJ,0.6190476190476191
49,vappypbiKthdDS,Hf,leJ,0.6190476190476191
50,HaEpy VirkhdDHRefilew,0.6190476190476191
51,VappypbiKthdDS,HfileJ,0.6666666666666666
52,VappypbiKthdDS,HfileJ,0.6666666666666666
53,VappypbiKthdDS,HfileJ,0.6666666666666666
54,HaEpyPbQrthdDS,Hfilew,0.6666666666666666
55,VappypbiKthdDS,HfileJ,0.6666666666666666
56,VappypbiKthdDS,HfileJ,0.6666666666666666
57,HappyebQrkhdDq,HfileJ,0.6666666666666666
58,HappyebQrkhdDq,HfileJ,0.6666666666666666
59,vappy VirkhdDS,HfileJ,0.6666666666666666
60,VappypbiKthdaowyfileJ,0.6666666666666666
61,vappypbirkhdAS,ufileJ,0.6666666666666666
62,HappypbiKthdDz,Hfilew,0.7142857142857143
63,HaKpy bQrkhdDS, filew,0.7142857142857143
64,HappypbiKthdDz,Hfilew,0.7142857142857143
65,HappypbiKthdDz,Hfilew,0.7142857142857143
66,HappypbiKthdaX,HfDlL!,0.7142857142857143
67,HaApypbirkhdQS, filew,0.7142857142857143
68,HaApypbirkhdQS, filew,0.7142857142857143
69,HaKpy ViKthdQS, filew,0.7142857142857143
70,HappypbiKthdDS,Hfilew,0.7142857142857143
71,HaApypbirkhdQS, filew,0.7142857142857143
72,cappy biKthdDS,RfileJ,0.7142857142857143
73,VappyPbirthdoS, fileJ,0.7619047619047619
74,cappy birthdDS,RfileJ,0.7619047619047619
75,cappy birthdDS,RfileJ,0.7619047619047619
76,cappy birthdDS,HfileJ,0.7619047619047619
77,cappy birthdDS,HfileJ,0.7619047619047619
78,HaApypbirkhdQS, filew,0.7142857142857143
79,Happy VirOhdaS,Gfilew,0.7619047619047619
80,Hacpy birkhdQO, filew,0.7619047619047619
81,HaApy birkhdDS, filew,0.7619047619047619
82,HaApy birkhdDS, filew,0.7619047619047619
83,HaApy birthdDS, filew,0.8095238095238095
84,HaApy birthdDS, filew,0.8095238095238095
85,HaApy birthdDS, filew,0.8095238095238095
86,HaApy birthdDS, filew,0.8095238095238095
87,HaApy birthdDS, filew,0.8095238095238095
88,HaApy birthdDS, filew,0.8095238095238095
89,Happy birthdQS, filew,0.8571428571428571
90,Happy birthdQS, filew,0.8571428571428571
91,Happy birkhdaz, filew,0.8571428571428571
92,Happy birkhdaz, filew,0.8571428571428571
93,Happy birkhdaz, filew,0.8571428571428571
94,Happy birkhdaz, filew,0.8571428571428571
95,Happy birkhdaz, filew,0.8571428571428571
96,Happy birkhdaS, filew,0.8571428571428571
97,Happy birkhdaz, filew,0.8571428571428571
98,Happy birkhdaz, filew,0.8571428571428571
99,Happy birkhdaz, filew,0.8571428571428571
100,Happy birkhdaz, filew,0.8571428571428571
101,Happy birkhdaz, filew,0.8571428571428571
102,Happy birkhdaz, filew,0.8571428571428571
103,Happy birkhdaz, filew,0.8571428571428571
104,Happy birkhdaz, filew,0.8571428571428571
105,Happy birkhdaS, filew,0.8571428571428571
106,Happy birkhdaS, filew,0.8571428571428571
107,Happy birkhdaz, filew,0.8571428571428571
108,Happy birkhdaz, filew,0.8571428571428571
109,Happy birthdaz, filew,0.9047619047619048
110,Happy birthdaz, filew,0.9047619047619048
111,Happy birthdaz, filew,0.9047619047619048
112,Happy birthdaz, filew,0.9047619047619048
113,Happy birthdaS, filew,0.9047619047619048
114,Happy birthdaz, filew,0.9047619047619048
115,Happy birthdaz, filew,0.9047619047619048
116,Happy birthdaz, filew,0.9047619047619048
117,Happy birthdaz, filew,0.9047619047619048
118,Happy birthdDz, filew,0.8571428571428571
119,Happy birthdau, filee,0.9047619047619048
120,Happy birThdaz, filew,0.8571428571428571
121,Happy birkhdaz, filew,0.8571428571428571
122,HappyPbirthdaz, filew,0.8571428571428571
123,Happy birthdQS, filew,0.8571428571428571
124,Happy birthdaz, filew,0.9047619047619048
125,Happy birthdaz, filew,0.9047619047619048
126,Happy birthdaz, filew,0.9047619047619048
127,Happy birthdaz, filew,0.9047619047619048
128,Happy birthdaz, filew,0.9047619047619048
129,Happy birthdaS, filew,0.9047619047619048
130,Happy birthdaz, fileJ,0.9047619047619048
131,Happy birthdaz, filew,0.9047619047619048
132,Happy birthdaS, filew,0.9047619047619048
133,Happy birthdaz, filew,0.9047619047619048
