1,Ga,kWEbVJtdyf,YBwfJZ!,0.19047619047619047
2,HQph!EbVJehxenLBehgyg,0.19047619047619047
3,mHR!aObirVxHVcJpRiPNE,0.19047619047619047
4,HhmqpGbTPbmEWWF fEElX,0.19047619047619047
5,Ga,kWEbVJthWFanNQn c!,0.23809523809523808
6,TTpwRkLjnthWFaUaoiIeM,0.23809523809523808
7,ITpOymbWfhhc wG Slpey,0.2857142857142857
8,ITpOymbWfhhc wG Slpey,0.2857142857142857
9,ITpOymbWfhhc wG Slpey,0.2857142857142857
10,POppxXB nthyayLIKsxzk,0.2857142857142857
11,TTp C ,inthWFaUaoiIeM,0.3333333333333333
12,Ga,kaObirmddafJomyBZ!,0.3333333333333333
13,mHR!aObirmddrLJ  iIeM,0.3333333333333333
14,Ga,kaObirmddaf,fmyBZ!,0.38095238095238093
15,HYppymbircxFOBI MIQB,,0.38095238095238093
16,HYppymbircxFOBI MIQB,,0.38095238095238093
17,HYppymbircxFOBI MIQB!,0.42857142857142855
18,HYppymbircqdaBI MIQB,,0.47619047619047616
19,HYppymbircqdaBI MIQB,,0.47619047619047616
20,SYppymbirthdaaY PHBD!,0.5714285714285714
21,SYppymbirthdaaY PHBD!,0.5714285714285714
22,SYppymbirthdaaY PHBD!,0.5714285714285714
23,SYppymbirthdaaY PHBD!,0.5714285714285714
24,SYppymbirthdaaY PHBD!,0.5714285714285714
25,SYppymbirthdaaY PHBD!,0.5714285714285714
26,HYppymbirthdaaY PiIB,,0.6190476190476191
27,SYppymbirthdaaY PiID!,0.6190476190476191
28,HYppymbirthdaaY PiIB,,0.6190476190476191
29,TappymbirthdaU,koiIeM,0.6666666666666666
30,TappymbirthdaU,koiIeM,0.6666666666666666
31,TappymbirthdaU,koiIeM,0.6666666666666666
32,TappymbirthdaU,koiIeM,0.6666666666666666
33,TappymbirthdaU,koiIeM,0.6666666666666666
34,TappymbirthdaU,koiIeM,0.6666666666666666
35,TappymbirthdaU,koiIeM,0.6666666666666666
36,TappymbirthdaU,koiIeM,0.6666666666666666
37,TappymbirthdaU,koiIeM,0.6666666666666666
38,HQppymbirthdaaY PiIef,0.6666666666666666
39,HQppymbirthdaaY PiIef,0.6666666666666666
40,HQppymbirthdaaY PiIef,0.6666666666666666
41,HYppymbirthdaaY PiyZ!,0.6666666666666666
42,HQppymbirthdaaY PiIef,0.6666666666666666
43,SYppymbirthdaaY PiBD!,0.6190476190476191
44,HYppymbirthdaaY PiIB,,0.6190476190476191
45,HYppymbirthdaaY PiIB,,0.6190476190476191
46,HYppymbirthdaaY PdB !,0.6190476190476191
47,HYppymbirthdaaY PiIB,,0.6190476190476191
48,HappymbirthOaU, !IQef,0.6666666666666666
49,HappymbirthOaU, !IQef,0.6666666666666666
50,HappymbirthOaU, !IQef,0.6666666666666666
51,HappymbirthOaU, !IQef,0.6666666666666666
52,HappymbirthOaU, !IQef,0.6666666666666666
53,HYppymbirthdaaY PiID!,0.6666666666666666
54,Gappymbirthdac,KoiIZ!,0.6666666666666666
55,HappyUbirthdaU, !IQef,0.7142857142857143
56,HappymbirthOaU, !IQef,0.6666666666666666
57,HappymbirthdaaY PiIef,0.7142857142857143
58,HappymbirthdaaY PiIef,0.7142857142857143
59,HappymbirthOaUL MiQef,0.6666666666666666
60,HappymbirthdaqYKPiBD!,0.6666666666666666
61,HappymbirthdaaL MiQef,0.7142857142857143
62,HappymbirthdarL MiQef,0.7142857142857143
63,Happymbirthdaac PiBW!,0.7142857142857143
64,HappymbirthdaUL MiQef,0.7142857142857143
65,Happymbirthdaac PiBW!,0.7142857142857143
66,HappymbirthdamY oiIeM,0.7142857142857143
67,HappymbirthdamY oiIeM,0.7142857142857143
68,HappymbirthdaaY PiQef,0.7142857142857143
69,HappymbirthdaaY PiQef,0.7142857142857143
70,HYppy birthdamY oiIeM,0.7142857142857143
71,HappymbirthdaaY PiQef,0.7142857142857143
72,HYppy birthdamY oiIeM,0.7142857142857143
73,HappymbirthdaaY PiQef,0.7142857142857143
74,Happymbirthdaa, PiIA!,0.7619047619047619
75,Happymbirthdaa, PiIA!,0.7619047619047619
76,Happymbirthdaa, PiIA!,0.7619047619047619
77,Happyibirthdaa,pfiQef,0.7619047619047619
78,Happymbirthdaa, PiQef,0.7619047619047619
79,HappyYbirthdaa, AiBef,0.7619047619047619
80,Happymbirthdaa, MiBef,0.7619047619047619
81,HappymbirthdaH,KPiBD!,0.7142857142857143
82,HappymbirthdaaY fiQef,0.7619047619047619
83,HYppymbirthdaX, piID!,0.7142857142857143
84,Happymbirthdaa, PiBD!,0.7619047619047619
85,Happymbirthdaa, PiBD!,0.7619047619047619
86,Happyibirthdaa, PiID!,0.7619047619047619
87,Happymbirthdaa, PiID!,0.7619047619047619
88,HappymbirthdaC, ciQef,0.7619047619047619
89,Happyibirthdaa, PiID!,0.7619047619047619
90,Happyibirthdaa, PiID!,0.7619047619047619
91,Happymbirthdaa, MiQr!,0.7619047619047619
92,Happyibirthdaa, PiID!,0.7619047619047619
93,Happymbirthdaa, PiID!,0.7619047619047619
94,Happymbirthdaa, MiQef,0.7619047619047619
95,Happymbirthdaa, MiQef,0.7619047619047619
96,Happymbirthdaa, MiQef,0.7619047619047619
97,Happymbirthdaa, PiID!,0.7619047619047619
98,Happyibirthdaa, PiID!,0.7619047619047619
99,Happymbirthdaa, PiID!,0.7619047619047619
100,Happymbirthdaa, PiID!,0.7619047619047619
101,Happymbirthdaa, PiID!,0.7619047619047619
102,Happymbirthdaa, PiID!,0.7619047619047619
103,Happymbirthdaa, DiBef,0.7619047619047619
104,Happymbirthdaa, DiBef,0.7619047619047619
105,HappyFbirthdaa, PiIeA,0.7619047619047619
106,Happymbirthdaa, DiBef,0.7619047619047619
107,Happymbirthdaa, PiQD!,0.7619047619047619
108,Happymbirthdaa, DiBef,0.7619047619047619
109,Happymbirthdaa, PiID!,0.7619047619047619
110,Happymbirthdaa, PiID!,0.7619047619047619
111,Happymbirthdaa, MiID!,0.7619047619047619
112,Happymbirthdaa, PiID!,0.7619047619047619
113,Happymbirthdaa, PiID!,0.7619047619047619
114,Happymbirthda,, MiQef,0.7619047619047619
115,Happymbirthda,, WiBD!,0.7619047619047619
116,Happymbirthdaa, PiIef,0.7619047619047619
117,Happy,birthdaa, DiBef,0.7619047619047619
118,Happy birthdaa, DiBef,0.8095238095238095
119,Happy birthdaa, DiBef,0.8095238095238095
120,Happy birthdaa, DiBef,0.8095238095238095
121,Happy birthdaa, DiBef,0.8095238095238095
122,Happy birthdaa, DiBef,0.8095238095238095
123,Happy birthdaa, DiBef,0.8095238095238095
124,Happy birthdaa, DiBef,0.8095238095238095
125,Happy birthdaa, DiBef,0.8095238095238095
126,Happy birthdaa, DiBef,0.8095238095238095
127,Happy birthdaa, DiBef,0.8095238095238095
128,Happy birthdaa, DiBC!,0.8095238095238095
129,Happy birthdaa, PiID!,0.8095238095238095
130,Happymbirthdaa, PiIe!,0.8095238095238095
131,Happy birthdaa, PiID!,0.8095238095238095
132,Happy birthdaa, DiID!,0.8095238095238095
133,Happymbirthdaa, PiVe!,0.8095238095238095
134,Happymbirthdau, DiBe!,0.8095238095238095
135,Happy birthdaa, DiBef,0.8095238095238095
136,Happy birthdaa, DiBef,0.8095238095238095
137,Happy birthdaa, DiBef,0.8095238095238095
138,Happymbirthdaa, DiBe!,0.8095238095238095
139,Happy birthdaa, DiVe!,0.8571428571428571
140,Happy birthdaa, DiVe!,0.8571428571428571
141,Happy birthdaa, DiVe!,0.8571428571428571
142,Happy birthdaa, DiVe!,0.8571428571428571
143,Happy birthdaa, DiVe!,0.8571428571428571
144,Happy birthdaa, DiVe!,0.8571428571428571
145,Happy birthdaa, DiVe!,0.8571428571428571
146,Happy birthdaa, DiVe!,0.8571428571428571
147,Happy birthdaa, DiVe!,0.8571428571428571
148,Happy birthdaa, DiVe!,0.8571428571428571
149,Happy birthdaa, PiVe!,0.8571428571428571
150,Happy birthdaa, PiVe!,0.8571428571428571
151,Happy birthdaa, PiVe!,0.8571428571428571
152,Happy birthdaa, DiVe!,0.8571428571428571
153,Happy birthdaa, PiVe!,0.8571428571428571
154,Happy birthdaa, PiVe!,0.8571428571428571
155,Happy birthdaa, PiVe!,0.8571428571428571
156,Happy birthdaa, DiVe!,0.8571428571428571
157,Happy birthdaa, oiVe!,0.8571428571428571
158,Happy birthdaa, DiVe!,0.8571428571428571
159,Happy birthdaa, DiVe!,0.8571428571428571
160,Happy birthdaa, DiVe!,0.8571428571428571
161,Happy birthdaa, DiVe!,0.8571428571428571
162,Happy birthdaa, oiVe!,0.8571428571428571
