1,WpnNU baiKHApQLraylj!,0.19047619047619047
2,WpnNU baiKHApQLraylj!,0.19047619047619047
3,WpnNU baiKHAXXY,fiej!,0.23809523809523808
4,WpnNU baithApQLraylj!,0.2857142857142857
5,WpnBy baiKHAXXY,fylj!,0.2857142857142857
6,WpnNU baithApQLraylj!,0.2857142857142857
7,HfLpU  OuJ Gms, zylj!,0.3333333333333333
8,WpnNU baitD!aFlnfylj!,0.3333333333333333
9,WpnNU baitD!aFlnfylj!,0.3333333333333333
10,HlLpU  OYJ Gms, zylj!,0.3333333333333333
11,WpnNU baithask,,Nylj!,0.3333333333333333
12,HUpNy bWUwhMhvnLAylj!,0.38095238095238093
13,HUpNy bWUwhMhvnLAylj!,0.38095238095238093
14,WpnNy baiKh!aFlnfylj!,0.38095238095238093
15,WpnNU baith!aFlnfylj!,0.38095238095238093
16,HfLpU baiKHApy, zylj!,0.42857142857142855
17,HUpNy bWUKh!avnLAylj!,0.42857142857142855
18,GinGy bWUwhA,y, zylj!,0.42857142857142855
19,HfLpU bPatD!as, zylj!,0.47619047619047616
20,HfLpU bPatD!as, zylj!,0.47619047619047616
21,HUpNy bOTtD!aFTrXilj!,0.47619047619047616
22,HAPpw baitha!k,,Nilj!,0.47619047619047616
23,HfnNU baithaay, zylj!,0.5238095238095238
24,HfLpU bartHAayc zylj!,0.5238095238095238
25,HfpNy bPatD!as, zylj!,0.5238095238095238
26,HfnNU baithaay, zylj!,0.5238095238095238
27,HUpNy bartHAayc Bylx!,0.5714285714285714
28,HUpNy bartHAayc Bylx!,0.5714285714285714
29,HUpNy baithasy, zylj!,0.5714285714285714
30,HUpNy baithasy, zylj!,0.5714285714285714
31,HUpNy baitX!ay, zylj!,0.5714285714285714
32,HAPpe baithaay,,Nilj!,0.5714285714285714
33,HUpNy bWithgay, zylj!,0.6190476190476191
34,HUpNy bWithgay, zylj!,0.6190476190476191
35,HUpNy bWithgay, zylj!,0.6190476190476191
36,HfLpU barthaay, zylj!,0.6190476190476191
37,Hfzpw barthaay, zylx!,0.6190476190476191
38,HfLpU barthaay, zylj!,0.6190476190476191
39,HfLpy barthaay, zylj!,0.6666666666666666
40,HUppy barthaay, Bylx!,0.7142857142857143
41,HUppy barthaay, Bylx!,0.7142857142857143
42,HfLpy barthaay, zylj!,0.6666666666666666
43,HfLpy barthaay, zylj!,0.6666666666666666
44,HfLpy barthaay, zylj!,0.6666666666666666
45,HUpNy barthAay, zylj!,0.6666666666666666
46,HfLpy barthaay, zylj!,0.6666666666666666
47,HUpNy bWrthaay, zylj!,0.6666666666666666
48,HUpNy bWrthaay, zylj!,0.6666666666666666
49,HspNy barthaay, zylj!,0.6666666666666666
50,HspNy barthaay, zylj!,0.6666666666666666
51,HspNy barthaay, zylj!,0.6666666666666666
52,HspNy barthaay, zylj!,0.6666666666666666
53,HspNy barthaay, zylj!,0.6666666666666666
54,HspNy barthaay, zylj!,0.6666666666666666
55,HfpNy barthaay, zylj!,0.6666666666666666
56,HspNy barthaay, zylj!,0.6666666666666666
57,HfpNy barthaay, zylj!,0.6666666666666666
58,HUpNy barthaay, zylj!,0.6666666666666666
59,HspNy barthaay, zylj!,0.6666666666666666
60,HspNy barthaay, zylj!,0.6666666666666666
61,HspNy barthaay, zylj!,0.6666666666666666
62,HspNy barthaay, zylj!,0.6666666666666666
63,HUpNy barthaay, nylx!,0.6666666666666666
64,HspNy barthaay, zylj!,0.6666666666666666
65,HUppy barthlay, zylx!,0.7142857142857143
66,HUpNy barthaay, fYlj!,0.7142857142857143
67,HfEpy barthaay, filj!,0.7619047619047619
68,HUpNy barthaay, fYlj!,0.7142857142857143
69,HspNy barthday, zslj!,0.7142857142857143
70,HUpNy barthaay, fYlj!,0.7142857142857143
71,HspNy bHrthbay, zGln!,0.6666666666666666
72,HspTy barthaay, zylj!,0.6666666666666666
73,HspNy barthaay, zylj!,0.6666666666666666
74,HspNy bGrthaay, zFlj!,0.6666666666666666
75,HUppy barthaay, Xylk!,0.7142857142857143
76,Hbppy barthgay, zylx!,0.7142857142857143
77,HKppy barthaay, zDlj!,0.7142857142857143
78,HKppy barthaay, zDlj!,0.7142857142857143
79,Hbppy barthgay, zylx!,0.7142857142857143
80,Hbppy barthgay, zylx!,0.7142857142857143
81,Hbppy barthgay, zylx!,0.7142857142857143
82,Heppy barthaay, zylj!,0.7142857142857143
83,Hbppy barthgay, zylx!,0.7142857142857143
84,HUppy bJrthday, zylj!,0.7619047619047619
85,Hsppy barth!ay, zyln!,0.7142857142857143
86,HspNy barthday, zylj!,0.7142857142857143
87,HspNy bQrthday, zylj!,0.7142857142857143
88,HspNy barthday, zylj!,0.7142857142857143
89,Hfppy barthsay, zDlj!,0.7142857142857143
90,HspNy barthday, zylj!,0.7142857142857143
91,HspNy barthday, jylj!,0.7142857142857143
92,HspNy barthday, zylj!,0.7142857142857143
93,Hfppy barthlay, zylj!,0.7142857142857143
