1,xXptIezWLNTdFx tbiwJn,0.14285714285714285
2,YaFpiU ZJJYbGyG b!Mwj,0.19047619047619047
3,spupvUbTr,vntSdvf EpJ,0.19047619047619047
4,spupvUbTqtWsa,yvf EpJ,0.23809523809523808
5,spupvUbTqtWsa,yvf EpJ,0.23809523809523808
6,spupvUbTqtWsa,yvf EpJ,0.23809523809523808
7,LSRpvUbaTEzdaqdAVnleD,0.2857142857142857
8,xXptIezWLNTdayT biwJn,0.2857142857142857
9,LSRpvUbzEtWMaqdAVnleD,0.2857142857142857
10,LSRpx hjLlRMaz,RVnleD,0.2857142857142857
11,DSRpvUbTLzlntSN fnleu,0.2857142857142857
12,!BNpvlbYr,vdFTVtbiwe!,0.3333333333333333
13,!BNpvlbYr,vdFTVtbiwe!,0.3333333333333333
14,MZu!y,wojthday tPJlGB,0.3333333333333333
15,NaB SXbvntzdite bileh,0.38095238095238093
16,NaB SXbvntzdite bileh,0.38095238095238093
17,LSRpy,wojthday tVnleD,0.42857142857142855
18,LSRpy,wojthday tVnleD,0.42857142857142855
19,LSRpy,wojthday tVnleD,0.42857142857142855
20,LSRpy,wojthday tVnleD,0.42857142857142855
21,NaRpvUbzntzdite bileh,0.42857142857142855
22,NaRpvUbzntzdite bileh,0.42857142857142855
23,LXppyUbTqEhday tfileh,0.5714285714285714
24,LXppyUbTqEhday tfileh,0.5714285714285714
25,LXppyUbTqEhday tfileh,0.5714285714285714
26,LXppyUbTqEhday tfileh,0.5714285714285714
27,LXppyUbTqEhday tfileh,0.5714285714285714
28,LXppyUbTqEhday tfileh,0.5714285714285714
29,LXppyUbTqEhday tfileh,0.5714285714285714
30,NappyFbTqEYday jfileh,0.5714285714285714
31,LXppyUbTqEhday tfileh,0.5714285714285714
32,LXppyVbzvthday tfileh,0.6190476190476191
33,NappyFbTFthday jfileh,0.6666666666666666
34,LXppy,blFtzday,wfileh,0.6190476190476191
35,LXppyVbzvthday tfileh,0.6190476190476191
36,NappyFbTFthday jfideh,0.6190476190476191
37,LXppyVbzvthday tfileh,0.6190476190476191
38,LXppy,blFtzday,wfileh,0.6190476190476191
39,NappyUblFtzday, bileh,0.6666666666666666
40,NappyUblFtzday, bileh,0.6666666666666666
41,NappyVbzvthday  bileh,0.6666666666666666
42,Lappy,blFtzday,wfileh,0.6666666666666666
43,Natpx bzvthday,tfileh,0.6666666666666666
44,LXppy,blFthday,wfileh,0.6666666666666666
45,NappyVbzvthday  bileh,0.6666666666666666
46,LXppyVbzvthday,tfileh,0.6666666666666666
47,Happy,bzvthday tfileh,0.7142857142857143
48,NappyUblFtzday,tfileh,0.6666666666666666
49,NappV bzvthday, bileh,0.7142857142857143
50,NappyVbzvthday,tfileh,0.7142857142857143
51,Nappy bzvthday  bileh,0.7142857142857143
52,Nappy,bzvthday  fileh,0.7142857142857143
53,Nappy,bzvthday  fileh,0.7142857142857143
54,Happy,blFthday,wfileD,0.7619047619047619
55,LXppy bQnthday,wfileh,0.7142857142857143
56,Nappy,bPvthdayg fileh,0.7142857142857143
57,NappyVb,Fthday  fileh,0.7142857142857143
58,NappyVbzvthday,tfileD,0.7142857142857143
59,Nappy bzvthday,tfileh,0.7619047619047619
60,Nappy bzvthdayg fileh,0.7619047619047619
61,Nappy bzvthdayg fileh,0.7619047619047619
62,Nappy bzvthdayg fileh,0.7619047619047619
63,Nappy bzvthdayg fileh,0.7619047619047619
64,Nappy bzvthdayg fileh,0.7619047619047619
65,Happv bTLthdayg fileD,0.7619047619047619
66,Happv bTLthdayg fileD,0.7619047619047619
67,Happv bTLthdayg fileD,0.7619047619047619
68,Happy bQnthday,tfilrE,0.7619047619047619
69,Happv bTvthday,tfileD,0.7619047619047619
70,Happv bTvthday,tfileD,0.7619047619047619
71,Happv bTvthday,tfileD,0.7619047619047619
72,Nappy bzvthday, fileD,0.8095238095238095
73,Nappy bzvthday, fileh,0.8095238095238095
74,Nappy bzvthday, fileD,0.8095238095238095
75,Nappy bzvthday, fileD,0.8095238095238095
76,Nappy bzvthday, fileD,0.8095238095238095
77,Nappy bzvthday, fileD,0.8095238095238095
78,Nappy bzithday, fileh,0.8095238095238095
79,Nappy bzvthday, fileD,0.8095238095238095
80,Happy bzithday,wfileh,0.8095238095238095
81,Wappy bzvthday, fileD,0.8095238095238095
82,Lappy bQithday, fileh,0.8095238095238095
83,Nappy bQLthday, fileh,0.8095238095238095
84,Nappy bQLthday, fileh,0.8095238095238095
85,Nappy bjLthday, fileD,0.8095238095238095
86,Nappy bQLthday, fileh,0.8095238095238095
87,Nappy bQLthday, fileh,0.8095238095238095
88,Nappy bQLthday, fileh,0.8095238095238095
89,Happy blvthday,wfileD,0.8095238095238095
90,Nappy bQLthday, fileh,0.8095238095238095
91,Nappy bQLthday, fileh,0.8095238095238095
92,Happy bzvthday,wfileD,0.8095238095238095
93,Nappy bQLthday, fileh,0.8095238095238095
94,Nappy bQLthday, fileh,0.8095238095238095
95,Happy bQvthday, fileh,0.8571428571428571
96,Nappy bQnthday, fileh,0.8095238095238095
97,Nappy bTvthday, fileh,0.8095238095238095
98,Nappy bTWthday, fileh,0.8095238095238095
99,Happy bzLthday, fileh,0.8571428571428571
100,Happy bQnthday, fileh,0.8571428571428571
101,Happy bzLthday, fileh,0.8571428571428571
102,Hatpy bUTthday, fileh,0.8095238095238095
103,Hatpy bUTthday, fileh,0.8095238095238095
104,Happy bUTthday, fileh,0.8571428571428571
105,Happy bjLthday, fileD,0.8571428571428571
106,Happy bjLthday, fileD,0.8571428571428571
107,Happy bjLthday, fileD,0.8571428571428571
108,Happy bjLthday, fileD,0.8571428571428571
109,Happy bjLthday, fileD,0.8571428571428571
110,Happy bjLthday, fileD,0.8571428571428571
111,Happy bjLthday, fileD,0.8571428571428571
112,Happy bjLthday, fileD,0.8571428571428571
113,Happy bjLthday, fileD,0.8571428571428571
114,Happy bQithday, fileh,0.8571428571428571
115,Happy bQithday, fileh,0.8571428571428571
116,Happy bQithday, fileh,0.8571428571428571
117,Happy bQithday, fileh,0.8571428571428571
118,Happy bjLthday, fileD,0.8571428571428571
119,Happy bQnthday, file!,0.9047619047619048
120,Happy bQnthday, file!,0.9047619047619048
121,Happy bQnthday, file!,0.9047619047619048
122,Happy bQnthday, file!,0.9047619047619048
123,Happy bQnthday, file!,0.9047619047619048
124,Happy bQithday, fileh,0.8571428571428571
125,Happy bzLthday, fileb,0.8571428571428571
126,Happy kiWthday, fileh,0.8571428571428571
127,Happy bTWthday, fileK,0.8571428571428571
128,Happy bQithday, fileh,0.8571428571428571
129,Happy bQithday, fileh,0.8571428571428571
130,Happy bQMthday, fileD,0.8571428571428571
131,Happy bjLthday, fileD,0.8571428571428571
132,Happy bQMthday, fileD,0.8571428571428571
133,Happy bQMthday, fileD,0.8571428571428571
134,Happy blvthday, file,,0.8571428571428571
135,Happy blvthday, file,,0.8571428571428571
136,Happy bjLthday, fileD,0.8571428571428571
137,Happy bjLthday, fileD,0.8571428571428571
138,Happy blithday, fileh,0.8571428571428571
139,Happy bzvthday, fileD,0.8571428571428571
140,Happy birthday, fileD,0.9523809523809523
